GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
0022200592,1610612741,Bulls,CHI,Chicago,240.000000:00,0.608,0.386,0.1,0.159,0.559,0.194,0.096,0.224
0022200595,1610612758,Kings,SAC,Sacramento,240.000000:00,0.605,0.43,0.136,0.283,0.665,0.402,0.164,0.333
0022200595,1610612747,Lakers,LAL,Los Angeles,240.000000:00,0.665,0.402,0.164,0.278,0.605,0.43,0.136,0.37
0022200589,1610612756,Suns,PHX,Phoenix,240.000000:00,0.451,0.305,0.141,0.167,0.5,0.397,0.13,0.174
0022200589,1610612748,Heat,MIA,Miami,240.000000:00,0.5,0.397,0.13,0.109,0.451,0.305,0.141,0.25
0022200582,1610612761,Raptors,TOR,Toronto,240.000000:00,0.482,0.422,0.075,0.226,0.566,0.313,0.138,0.32
0022200582,1610612752,Knicks,NYK,New York,240.000000:00,0.566,0.313,0.138,0.26,0.482,0.422,0.075,0.245
0022200584,1610612764,Wizards,WAS,Washington,240.000000:00,0.525,0.456,0.193,0.239,0.597,0.143,0.097,0.26
0022200584,1610612760,Thunder,OKC,Oklahoma City,240.000000:00,0.597,0.143,0.097,0.22,0.525,0.456,0.193,0.304
0022200580,1610612757,Trail Blazers,POR,Portland,240.000000:00,0.452,0.181,0.167,0.211,0.494,0.333,0.132,0.146
0022200580,1610612754,Pacers,IND,Indiana,240.000000:00,0.494,0.333,0.132,0.083,0.452,0.181,0.167,0.263
0022200583,1610612749,Bucks,MIL,Milwaukee,240.000000:00,0.56,0.286,0.171,0.231,0.618,0.186,0.049,0.308
0022200583,1610612766,Hornets,CHA,Charlotte,240.000000:00,0.618,0.186,0.049,0.25,0.56,0.286,0.171,0.269
0022200581,1610612755,76ers,PHI,Philadelphia,240.000000:00,0.533,0.196,0.074,0.226,0.69,0.202,0.126,0.231
0022200581,1610612741,Bulls,CHI,Chicago,240.000000:00,0.69,0.202,0.126,0.205,0.533,0.196,0.074,0.264
0022200585,1610612759,Spurs,SAS,San Antonio,240.000000:00,0.611,0.321,0.174,0.184,0.532,0.183,0.158,0.302
0022200585,1610612765,Pistons,DET,Detroit,240.000000:00,0.532,0.183,0.158,0.283,0.611,0.321,0.174,0.289
0022200586,1610612740,Pelicans,NOP,New Orleans,240.000000:00,0.466,0.284,0.158,0.255,0.524,0.235,0.134,0.245
0022200586,1610612751,Nets,BKN,Brooklyn,240.000000:00,0.524,0.235,0.134,0.204,0.466,0.284,0.158,0.364
0022200590,1610612747,Lakers,LAL,Los Angeles,240.000000:00,0.634,0.172,0.162,0.159,0.505,0.229,0.108,0.182
0022200590,1610612737,Hawks,ATL,Atlanta,240.000000:00,0.505,0.229,0.108,0.127,0.634,0.172,0.162,0.227
0022200588,1610612743,Nuggets,DEN,Denver,240.000000:00,0.636,0.284,0.152,0.317,0.511,0.364,0.077,0.357
