GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
22200552,1610612741,Bulls,CHI,Chicago,265:00,47,95,0.495,10,33,0.303,30,34,0.882,6,36,42,22,8,2,7,33,134,-11
22200553,1610612761,Raptors,TOR,Toronto,240:00,41,91,0.451,14,42,0.333,18,23,0.783,12,24,36,26,5,11,11,27,114,-8
22200553,1610612754,Pacers,IND,Indiana,240:00,45,93,0.484,10,27,0.37,22,26,0.846,15,35,50,24,4,2,12,19,122,8
22200551,1610612747,Lakers,LAL,Los Angeles,240:00,45,93,0.484,10,30,0.333,21,30,0.7,9,44,53,26,6,5,14,21,121,6
22200551,1610612766,Hornets,CHA,Charlotte,240:00,42,93,0.452,11,32,0.344,20,29,0.69,8,39,47,24,8,7,14,22,115,-6
22200558,1610612744,Warriors,GSW,Golden State,290:00,54,121,0.446,19,59,0.322,16,24,0.667,23,46,69,34,9,6,19,23,143,2
22200558,1610612737,Hawks,ATL,Atlanta,290:00,53,109,0.486,11,35,0.314,24,29,0.828,10,43,53,30,9,10,13,17,141,-2
22200557,1610612750,Timberwolves,MIN,Minnesota,240:00,45,87,0.517,13,36,0.361,21,27,0.778,11,30,41,29,7,4,11,22,124,13
22200557,1610612743,Nuggets,DEN,Denver,240:00,42,91,0.462,11,29,0.379,16,20,0.8,18,27,45,27,8,1,14,21,111,-13
22200550,1610612756,Suns,PHX,Phoenix,240:00,34,87,0.391,10,37,0.27,5,7,0.714,5,31,36,22,4,0,8,17,83,-19
22200550,1610612752,Knicks,NYK,New York,240:00,36,74,0.486,13,33,0.394,17,25,0.68,5,40,45,26,1,2,7,13,102,19
22200556,1610612745,Rockets,HOU,Houston,240:00,38,82,0.463,9,29,0.31,21,29,0.724,8,38,46,21,4,4,10,28,106,-5
22200556,1610612742,Mavericks,DAL,Dallas,240:00,34,81,0.42,13,43,0.302,30,34,0.882,8,33,41,19,8,6,8,19,111,5
22200559,1610612757,Trail Blazers,POR,Portland,240:00,48,84,0.571,14,31,0.452,25,35,0.714,6,38,44,29,16,6,18,27,135,29
22200559,1610612765,Pistons,DET,Detroit,240:00,34,82,0.415,6,18,0.333,32,41,0.78,9,36,45,16,8,4,21,27,106,-29
22200555,1610612759,Spurs,SAS,San Antonio,240:00,42,97,0.433,8,31,0.258,11,18,0.611,15,28,43,26,5,4,18,13,103,-36
22200555,1610612751,Nets,BKN,Brooklyn,240:00,58,93,0.624,11,20,0.55,12,15,0.8,7,38,45,31,13,7,12,16,139,36
22200554,1610612755,76ers,PHI,Philadelphia,240:00,41,86,0.477,15,35,0.429,23,28,0.821,7,28,35,26,9,6,9,22,120,9
22200554,1610612740,Pelicans,NOP,New Orleans,240:00,42,84,0.5,11,29,0.379,16,20,0.8,10,39,49,26,3,6,17,22,111,-9
22200560,1610612748,Heat,MIA,Miami,240:00,39,85,0.459,12,36,0.333,20,24,0.833,12,36,48,22,7,2,11,23,110,10
22200560,1610612746,Clippers,LAC,LA,240:00,29,67,0.433,12,29,0.414,30,34,0.882,3,31,34,19,7,1,15,18,100,-10
22200548,1610612764,Wizards,WAS,Washington,240:00,50,94,0.532,7,27,0.259,11,16,0.688,12,42,54,29,9,6,17,10,118,23
22200548,1610612749,Bucks,MIL,Milwaukee,240:00,34,96,0.354,13,49,0.265,14,15,0.933,14,30,44,22,11,3,16,15,95,-23
22200547,1610612758,Kings,SAC,Sacramento,240:00,39,96,0.406,15,43,0.349,15,15,1.0,14,33,47,24,7,4,15,18,108,-10
22200547,1610612763,Grizzlies,MEM,Memphis,240:00,46,100,0.46,10,32,0.313,16,24,0.667,21,36,57,25,11,8,11,18,118,10
22200757,1610612747,Lakers,LAL,Los Angeles,240:00,35,89,0.393,11,29,0.379,23,37,0.622,16,37,53,24,1,3,14,16,104,-17
22200757,1610612751,Nets,BKN,Brooklyn,240:00,45,95,0.474,16,41,0.39,15,19,0.789,12,38,50,24,8,9,9,25,121,17
22200752,1610612748,Heat,MIA,Miami,240:00,45,93,0.484,10,31,0.323,17,23,0.739,10,26,36,26,11,0,10,17,117,-5
22200752,1610612766,Hornets,CHA,Charlotte,240:00,45,83,0.542,15,40,0.375,17,22,0.773,11,36,47,25,6,3,19,18,122,5
