GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MINUTES,PTS,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,BOX_OUTS
22201120,1610612760,Thunder,OKC,Oklahoma City,240.000000:00,118,57,35,22,19,3,5,11,3,3,6,1,6,7,3,7
22201120,1610612757,Trail Blazers,POR,Portland,240.000000:00,112,46,28,18,10,1,11,27,3,3,6,2,2,4,2,4
22201121,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,99,33,19,14,17,0,9,27,5,4,9,0,4,4,1,4
22201121,1610612744,Warriors,GSW,Golden State,240.000000:00,96,42,28,14,19,2,15,37,1,1,2,0,5,5,1,5
22201117,1610612745,Rockets,HOU,Houston,240.000000:00,91,32,17,15,9,0,8,19,4,1,5,1,2,3,2,3
22201117,1610612739,Cavaliers,CLE,Cleveland,240.000000:00,108,43,31,12,15,1,10,24,3,2,5,0,2,2,1,2
22201114,1610612741,Bulls,CHI,Chicago,240.000000:00,118,31,13,18,14,4,11,24,3,3,6,1,11,12,4,12
22201114,1610612747,Lakers,LAL,Los Angeles,240.000000:00,108,50,33,17,11,0,8,19,1,1,2,2,4,6,3,6
22201118,1610612751,Nets,BKN,Brooklyn,240.000000:00,106,56,40,16,13,0,13,27,5,2,7,2,7,7,3,9
22201118,1610612753,Magic,ORL,Orlando,240.000000:00,119,62,31,31,7,0,10,21,4,1,5,0,8,8,2,8
22201113,1610612742,Mavericks,DAL,Dallas,240.000000:00,104,53,39,14,18,1,8,21,2,1,3,0,12,8,1,12
22201113,1610612766,Hornets,CHA,Charlotte,240.000000:00,110,49,23,26,14,0,2,4,4,2,6,1,9,7,3,10
22201115,1610612763,Grizzlies,MEM,Memphis,240.000000:00,123,56,36,20,14,0,13,27,2,4,6,0,3,2,1,3
22201115,1610612737,Hawks,ATL,Atlanta,240.000000:00,119,43,27,16,12,2,5,10,3,0,3,0,3,2,1,3
22201109,1610612749,Bucks,MIL,Milwaukee,240.000000:00,106,49,27,22,13,0,3,9,0,5,5,0,3,3,0,3
22201109,1610612743,Nuggets,DEN,Denver,240.000000:00,129,41,26,15,9,0,21,50,1,2,3,1,2,3,3,3
22201112,1610612740,Pelicans,NOP,New Orleans,240.000000:00,131,34,21,13,30,1,9,19,2,0,2,0,3,3,2,3
22201112,1610612746,Clippers,LAC,LA,240.000000:00,110,47,34,13,15,0,7,16,3,2,5,1,2,2,2,3
22201107,1610612754,Pacers,IND,Indiana,240.000000:00,130,56,37,19,15,0,16,38,1,3,4,1,2,3,1,3
22201107,1610612737,Hawks,ATL,Atlanta,240.000000:00,143,56,34,22,10,1,12,27,3,4,7,3,3,6,6,6
22201108,1610612751,Nets,BKN,Brooklyn,240.000000:00,129,47,30,17,15,1,7,19,2,0,2,3,4,7,5,7
